,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre;;;;;;;;;;;;;;;;;
35562,3FJysGV07CUWr8trCcdR8t,Brisa Star,Encaixadim,Encaixadim,40,166428,False,0.613,0.93,1,-2.511,1,0.0402,0.383,0.000488,0.0532,0.922,167.982,4,forro;;;;;;;;;;;;;;;;;
102875,4aYMKMpoKrFBgo3TTIYT2Z,Payung Teduh;Orkes Panawijen,Diam,Diam,44,247000,False,0.73,0.396,0,-7.382,1,0.0277,0.657,0.000447,0.297,0.681,89.98,4,songwriter;;;;;;;;;;;;;;;;
64758,7M9pPyt8Gr41THLhbz4NSB,Nina Simone,Broadway-Blues-Ballads,Don't Let Me Be Misunderstood,60,166200,False,0.388,0.501,11,-11.296,0,0.0731,0.778,0.0,0.305,0.532,158.348,4,jazz;;;;;;;;;;;;;;;;;
28582,2VTtxoSgxXQS7NPKSpDzIC,WE ARE FURY;Heather Sommer,DUALITY,Sad Story,41,183111,False,0.499,0.587,7,-5.906,0,0.0438,0.092,0.0,0.102,0.205,135.136,4,dub;;;;;;;;;;;;;;;;
40359,22wAfQ67CK9JjlFK2CPEsW,Fernandinho,Santo (ao Vivo),Abram Os Céus - Ao Vivo,42,331250,False,0.383,0.663,10,-7.054,1,0.0324,0.0125,0.0,0.0831,0.152,143.992,4,gospel;;;;;;;;;;;;;;;;;
"25467,2NVpYQqdraEcQwqT7GhUkh,Chaka Khan,""Epiphany: The Best of Chaka Khan, Vol. 1"",Ain't Nobody,67,280853,False,0.8,0.878,1,-7.109,1,0.0434,0.189,0.000104,0.14,0.816,104.282,4,disco";;;;;;;;;;;;;;;;;
47505,7L93GESzq43UkKUt5FsOCq,House Of Pain,House of Pain (Fine Malt Lyrics) [30 Years] [Deluxe Edition],Jump Around - 30 Years Remaster,74,218546,True,0.811,0.823,4,-5.921,0,0.0423,0.0553,4.52e-06,0.158,0.827,106.929,4,hard-rock;;;;;;;;;;;;;;;;;
3818,4lQkVJzDlpAVmQ9Rz4AFfd,Mahalia,Evergreen,I Wish I Missed My Ex,0,203066,False,0.669,0.669,0,-4.185,1,0.0849,0.274,0.0,0.289,0.546,95.023,4,alternative;;;;;;;;;;;;;;;;;
64801,5DAjrJqXqYtgr67pVhmUeR,Bonobo,Migration,Kerala,57,237546,False,0.529,0.739,7,-9.578,0,0.0718,0.0237,0.607,0.171,0.138,124.75,4,jazz;;;;;;;;;;;;;;;;;
106195,0FkloQbDAl1xjM1UC2jBIN,Håkan Hellström,Känn ingen sorg för mig Göteborg,En vän med en bil,47,221240,False,0.353,0.959,2,-3.98,1,0.0631,4.42e-05,0.0692,0.266,0.693,101.831,4,swedish;;;;;;;;;;;;;;;;;
26274,4hoN5zYJUFOsAoR5cDizuq,Vajen van den Bosch,Bitterzoet,Bitterzoet,25,167280,False,0.456,0.185,7,-14.531,1,0.044,0.917,2.17e-06,0.0949,0.369,93.449,5,disney;;;;;;;;;;;;;;;;;
56627,53k1gKFpKrDbktUzrB80f0,Cigarettes After Sex,Crush,Sesame Syrup,62,303296,False,0.426,0.413,4,-11.378,1,0.0248,0.0412,0.381,0.107,0.349,93.636,4,indie-pop;;;;;;;;;;;;;;;;;
45472,6u9Hxh7KIXRQXMtoRL4tRK,Pantelis Thalassinos,Ap'Tin Tilo Os Ti Thraki (Dia Zosis),Sto Kastro To Palio,24,133933,False,0.477,0.239,9,-14.588,1,0.0466,0.734,0.0,0.134,0.259,123.752,4,guitar;;;;;;;;;;;;;;;;;
35658,6DvQzgvavjCtKRQNuvIkj0,Os Barões Da Pisadinha,As Melhores 2018,American Pie,39,119353,False,0.786,0.935,2,-7.409,1,0.0465,0.686,0.000143,0.0475,0.974,172.128,4,forro;;;;;;;;;;;;;;;;;
43338,7ywbvFsilDcWyGwZWGdxmK,Purples,nada além de um instrumento,salmo 139,30,291000,False,0.436,0.755,8,-6.447,1,0.0835,0.314,0.0,0.113,0.505,93.02,4,groove;;;;;;;;;;;;;;;;;
