popularity,duration,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre_acoustic,track_genre_classical,track_genre_country,track_genre_disco,track_genre_funk,track_genre_hip-hop,track_genre_jazz,track_genre_pop,track_genre_rock,track_genre_world-music
0,118.84,0,0.602,0.553,11,-9.336,1,0.0328,0.108,0.0,0.0512,0.971,130.594,4,0,0,0,0,0,0,0,0,1,0
49,272.612,0,0.456,0.205,1,-8.437,1,0.0313,0.92,0.00011,0.149,0.161,117.663,4,1,0,0,0,0,0,0,0,0,0
0,198.014,0,0.679,0.764,6,-5.301,1,0.0391,0.031,9.05e-06,0.0951,0.471,124.977,4,0,0,0,0,1,0,0,0,0,0
30,220.88,0,0.47,0.303,5,-17.47,1,0.0532,0.986,0.814,0.11,0.515,88.114,4,0,1,0,0,0,0,0,0,0,0
44,251.106,0,0.389,0.719,1,-4.264,1,0.0431,0.00875,0.0,0.0886,0.316,150.011,4,0,0,0,0,0,0,0,0,0,1
51,228.426,0,0.498,0.113,6,-16.097,0,0.0333,0.691,0.000287,0.108,0.296,168.383,4,1,0,0,0,0,0,0,0,0,0
0,193.151,0,0.449,0.886,8,-2.501,1,0.0624,0.00248,7.48e-05,0.0743,0.61,171.016,4,0,0,0,0,0,0,0,0,1,0
0,206.106,0,0.607,0.912,8,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944,4,0,0,1,0,0,0,0,0,0,0
1,239.644,0,0.507,0.707,0,-9.403,1,0.0358,0.00238,0.00278,0.128,0.0676,123.94,4,0,0,0,1,0,0,0,0,0,0
81,195.92,0,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,4,0,0,0,0,0,0,0,0,1,0
78,258.773,0,0.378,0.896,2,-4.066,1,0.0407,0.000452,0.0,0.194,0.469,174.302,4,0,0,0,0,0,0,0,0,1,0
0,219.169,0,0.658,0.515,1,-7.283,1,0.0368,0.678,0.0,0.154,0.652,110.089,4,0,0,1,0,0,0,0,0,0,0
24,384.501,0,0.266,0.318,0,-8.948,1,0.0429,0.265,0.0,0.713,0.219,190.389,3,0,0,0,0,0,0,0,0,0,1
64,274.081,0,0.536,0.438,7,-12.894,1,0.103,0.119,0.0,0.129,0.127,144.626,4,0,0,0,0,0,1,0,0,0,0
0,266.333,0,0.0969,0.18,3,-18.797,1,0.0484,0.79,0.579,0.215,0.0978,74.24,4,0,1,0,0,0,0,0,0,0,0
29,214.01,0,0.651,0.977,6,-6.475,1,0.0406,0.0203,1.56e-05,0.84,0.977,140.032,4,0,0,0,1,0,0,0,0,0,0
1,237.333,0,0.535,0.547,1,-6.51,1,0.037,0.533,1.49e-06,0.123,0.477,115.146,3,0,0,0,0,0,0,1,0,0,0
1,152.144,0,0.341,0.266,4,-17.251,1,0.146,0.831,0.0,0.113,0.388,184.14,4,0,0,0,0,0,0,0,0,1,0
0,197.61,1,0.706,0.627,4,-2.94,0,0.202,0.193,0.0,0.126,0.38,158.041,4,0,0,0,0,0,1,0,0,0,0
0,89.84,0,0.513,0.287,10,-19.716,1,0.0472,0.976,0.00247,0.0991,0.265,100.492,4,0,1,0,0,0,0,0,0,0,0
64,258.733,0,0.652,0.433,7,-12.843,1,0.0588,0.134,7.37e-06,0.146,0.675,91.471,4,0,0,1,0,0,0,0,0,0,0
0,166.44,0,0.375,0.139,9,-19.789,0,0.0324,0.977,8.61e-06,0.0984,0.0878,75.993,3,0,0,0,0,0,0,1,0,0,0
0,164.0,0,0.375,0.145,2,-18.732,1,0.0361,0.963,0.889,0.128,0.329,77.903,4,0,1,0,0,0,0,0,0,0,0
0,201.893,0,0.683,0.796,11,-4.179,1,0.0284,0.112,0.0,0.197,0.533,90.031,4,0,0,1,0,0,0,0,0,0,0
1,224.213,0,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,4,0,0,1,0,0,0,0,0,0,0
0,228.92,0,0.169,0.0413,3,-27.419,1,0.0474,0.994,0.958,0.12,0.0431,90.832,3,0,1,0,0,0,0,0,0,0,0
45,297.266,0,0.468,0.254,6,-11.839,1,0.0303,0.938,0.000442,0.107,0.242,135.862,4,1,0,0,0,0,0,0,0,0,0
65,279.826,0,0.386,0.452,2,-7.715,1,0.0278,0.417,0.0,0.0881,0.287,169.837,3,1,0,0,0,0,0,0,0,0,0
32,344.963,0,0.386,0.115,11,-17.686,0,0.0314,0.985,0.888,0.149,0.12,103.936,3,0,0,0,0,0,0,0,0,0,1
0,333.8,1,0.793,0.737,6,-4.731,0,0.0785,0.0765,0.0,0.0747,0.697,167.969,4,0,0,0,0,0,0,0,1,0,0
47,257.39,0,0.631,0.29,1,-9.159,1,0.0279,0.857,0.0,0.181,0.398,96.593,3,1,0,0,0,0,0,0,0,0,0
0,154.026,0,0.322,0.48,1,-5.989,1,0.0492,0.746,0.0,0.113,0.304,73.476,4,0,0,1,0,0,0,0,0,0,0
76,214.147,0,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,4,0,0,0,0,0,0,0,0,1,0
